,numeric_label
3546,1.0
5771,-1.0
4079,1.0
2260,-1.0
847,1.0
5385,-1.0
3699,1.0
4126,1.0
4825,-1.0
265,1.0
4813,-1.0
3407,1.0
1168,1.0
2153,-1.0
5636,-1.0
1825,-1.0
4529,-1.0
2336,-1.0
3611,1.0
3484,1.0
4587,-1.0
857,1.0
811,1.0
874,1.0
1627,-1.0
3441,1.0
1476,1.0
516,1.0
930,1.0
3067,1.0
978,1.0
510,1.0
4980,-1.0
768,1.0
2717,-1.0
3478,1.0
1426,1.0
190,1.0
3109,1.0
1788,-1.0
536,1.0
887,1.0
1575,-1.0
4949,-1.0
4150,1.0
5071,-1.0
1951,-1.0
678,1.0
387,1.0
5806,-1.0
